,deezer_id,genres,id,name,popularity,genre
910,186783,"[chutney, dancehall, soca]",6wxP7SSzfvi21Cnl8JicdQ,Machel Montano,59,dancehall
911,1803,"[cabaret, chanson, french pop, french rock, ye ye]",7aKldvGENbL4bj8TCWHuhT,Michel Polnareff,48,chanson
912,289345,"[alternative dance, filter house, indietronica, nu disco]",0iui2Be5CP8EWxvHYsVspL,Breakbot,64,indietronica
913,9197980,"[belgian hip hop, french hip hop, rap conscient, trap francais]",2UwqpfQtNuhBwviIC0f2ie,Damso,77,french hip hop
914,5542343,"[french hip hop, trap francais]",6Te49r3A6f5BiIgBRxH7FH,Ninho,78,french hip hop
915,6545727,"[french hip hop, trap francais]",1kwzW1IszUiq4Gs9BFesvW,Hornet La Frappe,72,french hip hop
916,5062414,"[folk-pop, irish singer-songwriter, pop]",2FXC3k01G6Gw61bmprjgqS,Hozier,79,pop
917,517429,"[latin, latin hip hop, latin pop, pop, reggaeton, reggaeton flow, tropical]",0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,81,pop
918,519398,"[epicore, scorecore, soundtrack, video game music]",7FzXqfhbeFzALmcyi1j90U,Joris de Man,48,soundtrack
919,1466754,[],5KaJJswANgBwVWrlxYlYzp,Natacha Kudritskaya,22,
920,58624,"[french hip hop, trap francais]",1wAtSe79kItIb9nf5EhI2Q,Niro,61,french hip hop
921,4539732,[],37mtx80nMDETlbsq2eFCzc,Fleur East,52,
922,157698,"[classic italian pop, italian arena pop, italian pop]",0dwEXtB6gceh7EO7tCsxhD,Giusy Ferreri,63,italian pop
923,5283366,"[deep euro house, tropical house]",0e6qzpphJHtObTSwD75mi0,The Avener,59,tropical house
924,4742929,"[djent, instrumental rock, jazz metal, progressive metal]",65C6Unk7nhg2aCnVuAPMo8,Animals As Leaders,55,progressive metal
925,11971,"[francoton, french pop]",0Ntl0oWMPWfBOoi9Qcr9ht,Vitaa,67,french pop
926,14771,"[german punk, german rock]",2C7RDMSpyGZFyoSnvOeU4J,Broilers,57,german rock
927,6166,"[german hip hop, german pop, german rock]",748dDObrUoBetes0pLj788,Die Fantastischen Vier,61,german hip hop
928,358,"[chanson, french pop]",0e04xgVBPU6mE2QkSHlufD,Mylène Farmer,59,chanson
929,4453455,"[francoton, french pop, pop quebecois]",7wjeXCtRND2ZdKfMJFu6JC,Louane,63,french pop
930,105,"[dance pop, hip hop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary]",2gBjLmx6zQnFGQJCAQpRgw,Nelly,77,pop
931,7270,[swedish alternative rock],7CGoviGsNXYmGOBkXk8dtW,Danko Jones,57,swedish alternative rock
932,381,"[alternative rock, dance rock, new romantic, new wave, permanent wave, rock]",7bu3H8JO7d0UbMoVzbo70s,The Cure,75,rock
933,1187,"[new wave pop, pop rock]",0Je74SitssvJg1w4Ra2EK7,4 Non Blondes,66,pop rock
934,97450,[],1Xe9mlqr8UAaTmiRWoqcwv,Henri Pélissier,33,
935,2327,"[dancehall, dub, lovers rock, reggae, reggae fusion, roots reggae]",5mMuiFhh7faS7qxnTLRA6u,Barrington Levy,59,dancehall
936,288166,"[canadian pop, dance pop, pop, post-teen pop]",1uNFoZAHBGtllmzznpCI3s,Justin Bieber,90,pop
937,7699874,"[norwegian pop, pop]",1WgXqy2Dd70QQOU7Ay074N,AURORA,68,pop
938,5523632,[tropical house],5KnoVkIUGmK0PiDKMjz2LM,Feder,59,tropical house
939,1460327,[],1DJjbWTvOU4maNdH6PIzAu,DJ KTONE,1,
940,9214238,[],27thXYipXKjhCPuYZd4wiK,Chika Uwalubana,14,
941,6396188,"[dance pop, pop, post-teen pop, tropical house]",1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,86,pop
942,541,[britpop],3Kf7VEIRWquxrNIuyJZnfF,Cornershop,55,britpop
943,7285,"[cabaret, chanson, french pop, ye ye]",3fR5PRhFohNbxEXDE69pUz,Serge Lama,45,chanson
944,622,"[britpop, garage rock, indie rock, modern rock, neo mellow, rock]",450iujbtN6XgiA9pv6fVZz,Razorlight,63,rock
945,247319,[french pop],0hNK6eH7pXpC1yvhnFXTWB,Ycare,44,french pop
946,1049,"[art pop, art rock, chamber pop, dance rock, folk-pop, lilith, new wave, new wave pop, permanent wave, piano rock, pop rock, singer-songwriter]",1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,63,folk-pop
947,267,"[east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap]",1HwM5zlC5qNWhJtM00yXzG,DMX,73,rap
948,6032634,[tropical house],4AKwRarlmsUlLjIwt38NLw,Ofenbach,70,tropical house
949,91,"[dance pop, hip hop, hip pop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary]",2wIVse2owClT7go1WT98tk,Missy Elliott,76,pop
